cust_age;policy_id;coverage_start_date;cust_region;sum_assured_group;ins_deductible;annual_prem;zip_code;insured_sex;edu_lvl;marital_status;claim_incurred_date;claim_type;acc_type;emg_services_notified;incident_city;incident_hour;num_vehicles_involved;property_damage;bodily_injuries;witnesses;police_report_avlbl;total_claim_amount;injury_claim;property_claim;vehicle_claim;car_brand;car_model;production_year
44;225016;08.09.2007;north;mid;2000;1007.48;342178;F;college;other;17.02.2023;single vehicle collision;front collision;Fire;Riverwood;19;1;NO;0;2;YES;74140;13480;13480;47180;BMW;X5;2022
56;316183;02.02.2016;north;mid;500;1080.6;506682;F;phd;unmarried;28.02.2023;multi-vehicle collision;front collision;Fire;Columbus;12;3;?;2;3;;56430;0;6270;50160;Honda;CRV;2021
28;174430;04.02.2020;east;mid;2000;1078.03;330854;M;high school;married;26.02.2023;single vehicle collision;rear collision;Ambulance;Riverwood;1;1;?;0;1;YES;53600;6700;6700;40200;Volkswagen;Jetta;2014
53;67527;27.01.2013;north;low;1000;1026.55;502272;F;college;other;26.01.2023;single vehicle collision;front collision;Ambulance;Springfield;12;1;?;0;0;NO;80960;14720;7360;58880;Accura;MDX;2007
47;259758;08.04.2015;east;mid;2000;1484.15;515656;F;associate;other;14.01.2023;multi-vehicle collision;rear collision;Other;Northbrook;1;3;NO;2;3;;64100;12820;6410;44870;Dodge;RAM;2021
31;90381;19.03.2009;north;mid;2000;1110.15;372177;F;phd;other;13.01.2023;parked car;;None;Arlington;5;1;NO;1;3;NO;4290;780;780;2730;Volkswagen;Passat;2005
42;467398;26.03.2016;east;mid;500;1335.67;505109;F;college;unmarried;12.01.2023;single vehicle collision;rear collision;Police;Riverwood;18;1;?;1;2;YES;74700;7470;14940;52290;Dodge;RAM;2017
46;401494;14.07.2014;east;high;1000;1136.53;377646;M;jd;other;16.02.2023;single vehicle collision;side collision;Police;Arlington;18;1;NO;2;3;YES;33550;3050;6100;24400;Volkswagen;Passat;2012
40;508732;24.11.2011;north;low;500;1531.82;369824;F;jd;other;10.01.2023;multi-vehicle collision;rear collision;Fire;Northbend;18;2;YES;0;2;;66550;6050;12100;48400;Ford;Escape;2015
60;90902;30.05.2010;north;low;500;1297.02;359472;M;phd;unmarried;06.01.2023;single vehicle collision;front collision;Fire;Springfield;0;1;YES;0;0;;70000;14000;7000;49000;Ford;F150;2022
41;144199;30.04.2000;west;mid;500;1201.92;513087;M;jd;other;06.02.2023;multi-vehicle collision;rear collision;Police;Springfield;17;3;?;0;2;;95900;13700;20550;61650;Saab;95;2006
42;308254;05.12.1997;north;mid;500;1070.73;344881;F;masters;married;18.02.2023;multi-vehicle collision;side collision;Other;Springfield;7;4;?;2;1;YES;69100;6910;6910;55280;Toyota;Highlander;2013
52;379080;05.04.2009;west;high;1000;1051.13;502370;F;associate;other;16.02.2023;single vehicle collision;front collision;Other;Arlington;2;1;?;0;2;NO;47630;12990;4330;30310;Toyota;Corolla;2012
46;390387;19.05.2017;north;low;2000;896;518830;M;md;married;21.01.2023;single vehicle collision;rear collision;Other;Hillsdale;13;1;?;1;0;YES;79600;15920;15920;47760;Jeep;Wrangler;2018
29;143733;15.02.2015;north;high;1000;1336.03;341504;F;phd;other;23.02.2023;multi-vehicle collision;side collision;Ambulance;Columbus;4;3;NO;2;2;YES;61380;11160;5580;44640;Subaru;Legacy;2019
39;184737;21.05.2016;west;low;500;1034.1;365220;F;jd;other;17.01.2023;multi-vehicle collision;front collision;Police;Springfield;3;3;NO;2;0;;64680;11760;11760;41160;Jeep;Wrangler;2017
42;173743;24.11.2017;east;low;1000;1482.59;513817;M;phd;other;24.02.2023;single vehicle collision;side collision;Police;Riverwood;10;1;NO;2;3;;63030;5730;11460;45840;Saab;92x;2003
55;347968;28.06.2020;east;mid;2000;1587.65;344702;M;college;married;27.01.2023;multi-vehicle collision;rear collision;Police;Arlington;6;3;?;2;0;YES;85300;17060;8530;59710;Toyota;Highlander;2010
42;398535;19.05.2012;east;high;500;1210.86;355881;F;college;other;27.01.2023;single vehicle collision;front collision;Fire;Springfield;11;1;?;0;0;YES;55200;9200;13800;32200;Honda;Civic;2005
38;253771;28.01.2008;west;low;2000;1122.58;516129;F;md;married;14.02.2023;single vehicle collision;side collision;Ambulance;Northbrook;5;1;NO;0;1;;90530;16460;16460;57610;Ford;F150;2010
37;595578;27.03.1998;west;high;500;1413.79;503349;M;phd;other;12.02.2023;single vehicle collision;side collision;Fire;Hillsdale;17;1;YES;0;1;YES;64800;10800;5400;48600;Audi;A3;2006
44;266778;19.08.2009;north;high;500;1778.78;365910;M;associate;other;19.02.2023;single vehicle collision;side collision;Ambulance;Springfield;3;1;NO;1;0;NO;70200;7020;7020;56160;Ford;F150;2019
